DateTime,sum,mean,count,hour,minute
2011-12-08 19:30:00,8.6989999,0.43494999500000003,20,19,30
2011-12-08 20:00:00,6.7219999999999995,0.33609999999999995,20,20,0
2011-12-08 20:30:00,6.9139999,0.34569999500000004,20,20,30
2011-12-08 21:00:00,5.913,0.29565,20,21,0
2011-12-08 21:30:00,6.3950001,0.319750005,20,21,30
2011-12-08 22:00:00,5.902,0.29510000000000003,20,22,0
2011-12-08 22:30:00,5.391,0.26955,20,22,30
2011-12-08 23:00:00,4.868,0.2434,20,23,0
2011-12-08 23:30:00,5.696,0.2848,20,23,30
2011-12-09 00:00:00,5.1770000000000005,0.25885,20,0,0
2011-12-09 00:30:00,8.4800001,0.424000005,20,0,30
2011-12-09 01:00:00,6.6329997999999994,0.33164998999999995,20,1,0
2011-12-09 01:30:00,5.157,0.25785,20,1,30
2011-12-09 02:00:00,5.0110001,0.250550005,20,2,0
2011-12-09 02:30:00,4.928,0.2464,20,2,30
2011-12-09 03:00:00,4.244,0.2122,20,3,0
2011-12-09 03:30:00,4.202,0.2101,20,3,30
2011-12-09 04:00:00,2.8090001,0.140450005,20,4,0
2011-12-09 04:30:00,3.6599999999999997,0.183,20,4,30
2011-12-09 05:00:00,3.4180001,0.170900005,20,5,0
2011-12-09 05:30:00,2.9779999999999998,0.14889999999999998,20,5,30
2011-12-09 06:00:00,2.112,0.1056,20,6,0
2011-12-09 06:30:00,2.8289999999999997,0.14145,20,6,30
2011-12-09 07:00:00,2.679,0.13394999999999999,20,7,0
2011-12-09 07:30:00,3.075,0.15375,20,7,30
2011-12-09 08:00:00,4.128,0.2064,20,8,0
2011-12-09 08:30:00,5.072,0.2536,20,8,30
2011-12-09 09:00:00,4.132,0.20659999999999998,20,9,0
2011-12-09 09:30:00,4.19,0.20950000000000002,20,9,30
2011-12-09 10:00:00,4.593,0.22965,20,10,0
2011-12-09 10:30:00,5.873,0.29365,20,10,30
2011-12-09 11:00:00,4.508,0.2254,20,11,0
2011-12-09 11:30:00,4.135,0.20675,20,11,30
2011-12-09 12:00:00,5.64,0.282,20,12,0
2011-12-09 12:30:00,6.4229999,0.32114999499999997,20,12,30
2011-12-09 13:00:00,4.33,0.2165,20,13,0
2011-12-09 13:30:00,3.625,0.18125,20,13,30
2011-12-09 14:00:00,4.883,0.24415,20,14,0
2011-12-09 14:30:00,3.645,0.18225,20,14,30
2011-12-09 15:00:00,3.8409999999999997,0.19205,20,15,0
2011-12-09 15:30:00,4.312,0.2156,20,15,30
2011-12-09 16:00:00,3.7560000000000002,0.18780000000000002,20,16,0
2011-12-09 16:30:00,3.4730000000000003,0.17365000000000003,20,16,30
2011-12-09 17:00:00,3.7359999999999998,0.1868,20,17,0
2011-12-09 17:30:00,5.7219999,0.286099995,20,17,30
2011-12-09 18:00:00,4.585,0.22925,20,18,0
2011-12-09 18:30:00,5.064,0.2532,20,18,30
2011-12-09 19:00:00,5.282,0.2641,20,19,0
2011-12-09 19:30:00,4.889,0.24445,20,19,30
2011-12-09 20:00:00,5.724,0.2862,20,20,0
2011-12-09 20:30:00,5.506,0.2753,20,20,30
2011-12-09 21:00:00,4.398,0.21989999999999998,20,21,0
2011-12-09 21:30:00,4.873,0.24365,20,21,30
2011-12-09 22:00:00,5.054,0.25270000000000004,20,22,0
2011-12-09 22:30:00,5.023,0.25115,20,22,30
2011-12-09 23:00:00,4.595,0.22974999999999998,20,23,0
2011-12-09 23:30:00,3.942,0.1971,20,23,30
2011-12-10 00:00:00,3.6510000000000002,0.18255000000000002,20,0,0
2011-12-10 00:30:00,8.408999999999999,0.42044999999999993,20,0,30
2011-12-10 01:00:00,6.5299998,0.32649998999999996,20,1,0
2011-12-10 01:30:00,5.413,0.27065,20,1,30
2011-12-10 02:00:00,4.7969999,0.239849995,20,2,0
2011-12-10 02:30:00,4.479,0.22395,20,2,30
2011-12-10 03:00:00,4.362,0.21810000000000002,20,3,0
2011-12-10 03:30:00,4.251,0.21255000000000002,20,3,30
2011-12-10 04:00:00,3.421,0.17104999999999998,20,4,0
2011-12-10 04:30:00,3.176,0.1588,20,4,30
2011-12-10 05:00:00,3.8370001,0.191850005,20,5,0
2011-12-10 05:30:00,2.964,0.1482,20,5,30
2011-12-10 06:00:00,2.093,0.10464999999999999,20,6,0
2011-12-10 06:30:00,2.251,0.11255,20,6,30
2011-12-10 07:00:00,2.59,0.1295,20,7,0
2011-12-10 07:30:00,3.0420000000000003,0.1521,20,7,30
2011-12-10 08:00:00,3.537,0.17685,20,8,0
2011-12-10 08:30:00,3.379,0.16895,20,8,30
